payment_id,order_id,customer_id,gross_amount,fee_amount,tax_amount,expected_net_amount,payment_time,candidate_bank_row_ids,matched_bank_row_ids,candidate_bank_total,matched_amount,settlement_lag_days,predicted_status,likely_cause,recommended_action,explanation_source,ground_truth_status,truth_case,is_correct
pay_00001,order_100001,cust_2824,809.74,14.13,2.54,793.07,2026-08-04T13:12:00,bk_00001,,965.48,0.0,,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",rule_based,EXCEPTION_AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
pay_00002,order_100002,cust_7912,920.03,15.81,2.85,901.37,2026-08-12T20:59:00,bk_00002;bk_00003,bk_00002;bk_00003,901.37,901.37,3.0,MATCHED_SPLIT,,,,MATCHED_SPLIT,SPLIT_SETTLEMENT,True
pay_00003,order_100003,cust_5557,506.76,8.41,1.51,496.84,2026-08-10T23:48:00,bk_00004,bk_00004,496.84,496.84,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00004,order_100004,cust_2674,1919.38,35.68,6.42,1877.28,2026-08-09T04:50:00,bk_00005;bk_00006,bk_00005;bk_00006,1877.28,1877.28,3.0,MATCHED_SPLIT,,,,MATCHED_SPLIT,SPLIT_SETTLEMENT,True
pay_00005,order_100005,cust_2291,5203.83,110.24,19.84,5073.75,2026-08-09T14:30:00,bk_00007,bk_00007,5073.75,5073.75,2.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00006,order_100006,cust_5741,1707.86,40.42,7.28,1660.16,2026-08-10T00:35:00,bk_00008,bk_00008,1660.16,1660.16,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00007,order_100007,cust_6820,3832.67,84.39,15.19,3733.09,2026-08-02T23:59:00,bk_00009;bk_00010,bk_00009;bk_00010,3733.09,3733.09,3.0,MATCHED_SPLIT,,,,MATCHED_SPLIT,SPLIT_SETTLEMENT,True
pay_00008,order_100008,cust_5422,3998.68,93.68,16.86,3888.14,2026-08-02T15:32:00,bk_00011,bk_00011,3888.14,3888.14,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00009,order_100009,cust_7572,4786.07,115.49,20.79,4649.79,2026-08-08T12:51:00,bk_00012,bk_00012,4649.79,4649.79,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00010,order_100010,cust_8517,2740.26,47.86,8.61,2683.79,2026-08-07T08:29:00,bk_00013,,2796.61,0.0,,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",rule_based,EXCEPTION_AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
