bank_row_id,payment_id_hint,order_id_hint,utr,settled_amount,currency,settlement_time,narrative
bk_00070,pay_00064,order_100064,UTR63151538665,3025.44,INR,2026-08-02T11:01:00,NORMAL PAYOUT pay_00064
bk_00064,pay_00059,order_100059,UTR89851571448,7822.05,INR,2026-08-02T11:43:00,NORMAL PAYOUT pay_00059
bk_00035,pay_00031,order_100031,UTR27163103565,5420.52,INR,2026-08-02T14:05:00,RAZORPAY SETTLEMENT pay_00031
bk_00011,pay_00008,order_100008,UTR56407318350,3888.14,INR,2026-08-02T22:32:00,RAZORPAY SETTLEMENT pay_00008
bk_00031,pay_00028,order_100028,UTR19388046742,8431.87,INR,2026-08-03T07:03:00,PAYOUT DUPLICATE pay_00028
bk_00032,pay_00028,order_100028,UTR19388046742,8431.87,INR,2026-08-03T07:03:00,PAYOUT DUPLICATE pay_00028
bk_00039,pay_00035,order_100035,UTR47921761308,4627.87,INR,2026-08-03T07:44:00,RAZORPAY SETTLEMENT pay_00035
bk_00061,pay_00056,order_100056,UTR90615659007,6914.13,INR,2026-08-03T14:00:00,RAZORPAY SETTLEMENT pay_00056
bk_00060,pay_00055,order_100055,UTR19508855212,4971.16,INR,2026-08-03T18:00:00,RAZORPAY SETTLEMENT pay_00055
bk_00067,pay_00062,order_100062,UTR44143322405,1393.04,INR,2026-08-03T22:28:00,ADJUSTED PAYOUT pay_00062
bk_00019,pay_00016,order_100016,UTR22094727776,1316.33,INR,2026-08-04T01:00:00,RAZORPAY SETTLEMENT pay_00016
bk_00027,pay_00024,order_100024,UTR14715482085,7142.84,INR,2026-08-04T01:10:00,RAZORPAY SETTLEMENT pay_00024
bk_00014,pay_00011,order_100011,UTR93417541864,8515.62,INR,2026-08-04T07:52:00,RAZORPAY SETTLEMENT pay_00011
bk_00026,pay_00023,order_100023,UTR72432871908,1363.16,INR,2026-08-04T08:40:00,RAZORPAY SETTLEMENT pay_00023
bk_00083,pay_00076,order_100076,UTR51031364324,3252.3,INR,2026-08-04T13:07:00,RAZORPAY SETTLEMENT pay_00076
bk_00049,pay_00045,order_100045,UTR20442342819,3422.66,INR,2026-08-04T15:55:00,DELAYED PAYOUT pay_00045
bk_00030,pay_00027,order_100027,UTR14540490283,2876.68,INR,2026-08-04T22:56:00,DELAYED PAYOUT pay_00027
bk_00081,pay_00074,order_100074,UTR36592465992,4331.9,INR,2026-08-05T02:17:00,ADJUSTED PAYOUT pay_00074
bk_00085,pay_00078,order_100078,UTR19894898206,2218.91,INR,2026-08-05T04:27:00,DELAYED PAYOUT pay_00078
bk_00038,pay_00034,order_100034,UTR56031793831,2526.93,INR,2026-08-05T09:53:00,RAZORPAY SETTLEMENT pay_00034
bk_00001,pay_00001,order_100001,UTR87682810754,965.48,INR,2026-08-05T13:12:00,ADJUSTED PAYOUT pay_00001
bk_00020,pay_00017,order_100017,UTR39911710912,2402.79,INR,2026-08-05T22:10:00,RAZORPAY SETTLEMENT pay_00017
bk_00009,pay_00007,order_100007,UTR32526291403,1375.48,INR,2026-08-06T01:59:00,SPLIT PAYOUT pay_00007
bk_00010,pay_00007,order_100007,UTR63525000050,2357.61,INR,2026-08-06T05:59:00,SPLIT PAYOUT pay_00007
bk_00018,pay_00015,order_100015,UTR52119777069,3560.48,INR,2026-08-06T10:18:00,DELAYED PAYOUT pay_00015
bk_00087,pay_00080,order_100080,UTR40739326144,1985.12,INR,2026-08-06T12:14:00,RAZORPAY SETTLEMENT pay_00080
bk_00072,pay_00066,order_100066,UTR69483474381,5933.24,INR,2026-08-06T23:39:00,DELAYED PAYOUT pay_00066
bk_00086,pay_00079,order_100079,UTR50496515783,2388.93,INR,2026-08-07T12:15:00,ADJUSTED PAYOUT pay_00079
bk_00071,pay_00065,order_100065,UTR91534990643,1600.34,INR,2026-08-07T12:37:00,RAZORPAY SETTLEMENT pay_00065
bk_00028,pay_00025,order_100025,UTR37837222462,623.59,INR,2026-08-07T15:05:00,RAZORPAY SETTLEMENT pay_00025
bk_00015,pay_00012,order_100012,UTR25980378553,6506.91,INR,2026-08-07T17:18:00,PAYOUT DUPLICATE pay_00012
bk_00016,pay_00012,order_100012,UTR25980378553,6506.91,INR,2026-08-07T17:18:00,PAYOUT DUPLICATE pay_00012
bk_00079,pay_00072,order_100072,UTR76009440215,1881.04,INR,2026-08-07T21:52:00,RAZORPAY SETTLEMENT pay_00072
bk_00075,pay_00068,order_100068,UTR44731952676,7805.4,INR,2026-08-08T00:34:00,RAZORPAY SETTLEMENT pay_00068
bk_00040,pay_00036,order_100036,UTR84851345353,449.52,INR,2026-08-08T04:03:00,RAZORPAY SETTLEMENT pay_00036
bk_00013,pay_00010,order_100010,UTR41619533975,2796.61,INR,2026-08-08T08:29:00,ADJUSTED PAYOUT pay_00010
bk_00051,pay_00047,order_100047,UTR13580822352,1446.69,INR,2026-08-08T10:02:00,SPLIT PAYOUT pay_00047
bk_00052,pay_00047,order_100047,UTR49959838647,1994.7,INR,2026-08-08T14:02:00,SPLIT PAYOUT pay_00047
bk_00059,pay_00054,order_100054,UTR71308929199,4653.56,INR,2026-08-08T16:26:00,ADJUSTED PAYOUT pay_00054
bk_00022,pay_00019,order_100019,UTR98939499630,4007.82,INR,2026-08-08T16:40:00,DELAYED PAYOUT pay_00019
bk_00017,pay_00013,order_100013,UTR47450743307,4668.15,INR,2026-08-08T21:17:00,RAZORPAY SETTLEMENT pay_00013
bk_00041,pay_00037,order_100037,UTR29025789079,2169.32,INR,2026-08-08T21:24:00,DELAYED PAYOUT pay_00037
bk_00033,pay_00029,order_100029,UTR89816264716,4130.86,INR,2026-08-09T01:27:00,DELAYED PAYOUT pay_00029
bk_00062,pay_00057,order_100057,UTR84814126733,6656.14,INR,2026-08-09T04:04:00,ADJUSTED PAYOUT pay_00057
bk_00046,pay_00042,order_100042,UTR58443472984,3971.06,INR,2026-08-09T04:16:00,RAZORPAY SETTLEMENT pay_00042
bk_00034,pay_00030,order_100030,UTR51427110440,5471.64,INR,2026-08-09T06:35:00,RAZORPAY SETTLEMENT pay_00030
bk_00012,pay_00009,order_100009,UTR99827297893,4649.79,INR,2026-08-09T09:51:00,RAZORPAY SETTLEMENT pay_00009
bk_00047,pay_00043,order_100043,UTR48527577250,6756.52,INR,2026-08-09T09:51:00,NORMAL PAYOUT pay_00043
bk_00023,pay_00020,order_100020,UTR37854643175,4075.08,INR,2026-08-09T10:27:00,RAZORPAY SETTLEMENT pay_00020
bk_00054,pay_00049,order_100049,UTR51544341056,1743.59,INR,2026-08-09T13:03:00,RAZORPAY SETTLEMENT pay_00049
bk_00077,pay_00070,order_100070,UTR12387104291,8160.76,INR,2026-08-09T16:52:00,RAZORPAY SETTLEMENT pay_00070
bk_00080,pay_00073,order_100073,UTR49818282850,5872.56,INR,2026-08-09T17:39:00,RAZORPAY SETTLEMENT pay_00073
bk_00048,pay_00044,order_100044,UTR25081447213,4716.83,INR,2026-08-10T05:47:00,ADJUSTED PAYOUT pay_00044
bk_00008,pay_00006,order_100006,UTR57943234281,1660.16,INR,2026-08-10T17:35:00,RAZORPAY SETTLEMENT pay_00006
bk_00021,pay_00018,order_100018,UTR24824020111,3612.9,INR,2026-08-10T18:56:00,RAZORPAY SETTLEMENT pay_00018
bk_00066,pay_00061,order_100061,UTR74776294029,7639.89,INR,2026-08-10T19:03:00,RAZORPAY SETTLEMENT pay_00061
bk_00076,pay_00069,order_100069,UTR56604487565,4288.38,INR,2026-08-10T20:58:00,RAZORPAY SETTLEMENT pay_00069
bk_00029,pay_00026,order_100026,UTR67059710962,1336.05,INR,2026-08-11T02:13:00,RAZORPAY SETTLEMENT pay_00026
bk_00042,pay_00039,order_100039,UTR30398851033,4390.48,INR,2026-08-11T05:56:00,PAYOUT DUPLICATE pay_00039
bk_00043,pay_00039,order_100039,UTR30398851033,4390.48,INR,2026-08-11T05:56:00,PAYOUT DUPLICATE pay_00039
bk_00025,pay_00022,order_100022,UTR98791424611,1900.78,INR,2026-08-11T07:19:00,RAZORPAY SETTLEMENT pay_00022
bk_00036,pay_00033,order_100033,UTR12271782991,4382.46,INR,2026-08-11T08:12:00,SPLIT PAYOUT pay_00033
bk_00004,pay_00003,order_100003,UTR56228855278,496.84,INR,2026-08-11T09:48:00,RAZORPAY SETTLEMENT pay_00003
bk_00088,unknown_pay_001,unknown_order_001,UTR83760967545,1114.16,INR,2026-08-11T10:00:00,MANUAL CREDIT unknown_pay_001
bk_00044,pay_00040,order_100040,UTR45425608546,2979.46,INR,2026-08-11T10:10:00,RAZORPAY SETTLEMENT pay_00040
bk_00089,unknown_pay_002,unknown_order_002,UTR71884111757,6147.59,INR,2026-08-11T11:00:00,MANUAL CREDIT unknown_pay_002
bk_00090,unknown_pay_003,unknown_order_003,UTR15545916432,2396.29,INR,2026-08-11T12:00:00,MANUAL CREDIT unknown_pay_003
bk_00037,pay_00033,order_100033,UTR51036704342,1924.2,INR,2026-08-11T12:12:00,SPLIT PAYOUT pay_00033
bk_00007,pay_00005,order_100005,UTR42904875417,5073.75,INR,2026-08-11T15:30:00,DELAYED PAYOUT pay_00005
bk_00005,pay_00004,order_100004,UTR84987658854,1169.27,INR,2026-08-12T06:50:00,SPLIT PAYOUT pay_00004
bk_00006,pay_00004,order_100004,UTR65500836001,708.01,INR,2026-08-12T10:50:00,SPLIT PAYOUT pay_00004
bk_00065,pay_00060,order_100060,UTR54577911667,1741.37,INR,2026-08-12T11:08:00,RAZORPAY SETTLEMENT pay_00060
bk_00045,pay_00041,order_100041,UTR50156477155,2131.96,INR,2026-08-12T22:03:00,RAZORPAY SETTLEMENT pay_00041
bk_00024,pay_00021,order_100021,UTR69302748061,2495.54,INR,2026-08-13T00:08:00,RAZORPAY SETTLEMENT pay_00021
bk_00063,pay_00058,order_100058,UTR64967602742,3929.52,INR,2026-08-13T02:13:00,RAZORPAY SETTLEMENT pay_00058
bk_00084,pay_00077,order_100077,UTR44580399705,8291.45,INR,2026-08-13T02:17:00,DELAYED PAYOUT pay_00077
bk_00068,pay_00063,order_100063,UTR33059229191,377.68,INR,2026-08-13T05:37:00,SPLIT PAYOUT pay_00063
bk_00069,pay_00063,order_100063,UTR94206667925,340.9,INR,2026-08-13T09:37:00,SPLIT PAYOUT pay_00063
bk_00050,pay_00046,order_100046,UTR84284273440,5437.39,INR,2026-08-13T11:00:00,DELAYED PAYOUT pay_00046
bk_00058,pay_00053,order_100053,UTR78124601904,5440.96,INR,2026-08-13T19:40:00,RAZORPAY SETTLEMENT pay_00053
bk_00053,pay_00048,order_100048,UTR76619985038,7258.74,INR,2026-08-13T20:59:00,DELAYED PAYOUT pay_00048
bk_00055,pay_00050,order_100050,UTR90014233052,2183.79,INR,2026-08-14T06:29:00,SPLIT PAYOUT pay_00050
bk_00056,pay_00050,order_100050,UTR64530426279,1411.55,INR,2026-08-14T10:29:00,SPLIT PAYOUT pay_00050
bk_00073,pay_00067,order_100067,UTR47153431705,987.58,INR,2026-08-14T22:04:00,SPLIT PAYOUT pay_00067
bk_00074,pay_00067,order_100067,UTR86964171798,1095.06,INR,2026-08-15T02:04:00,SPLIT PAYOUT pay_00067
bk_00082,pay_00075,order_100075,UTR41337139942,4786.63,INR,2026-08-15T11:31:00,DELAYED PAYOUT pay_00075
bk_00078,pay_00071,order_100071,UTR72237603717,3437.61,INR,2026-08-15T19:49:00,DELAYED PAYOUT pay_00071
bk_00002,pay_00002,order_100002,UTR68175080694,472.77,INR,2026-08-15T22:59:00,SPLIT PAYOUT pay_00002
bk_00003,pay_00002,order_100002,UTR71076327392,428.6,INR,2026-08-16T02:59:00,SPLIT PAYOUT pay_00002
bk_00057,pay_00052,order_100052,UTR29140357823,7164.97,INR,2026-08-16T05:52:00,DELAYED PAYOUT pay_00052
