gateway_row_id,payment_id,order_id,customer_id,gross_amount,fee_amount,tax_amount,expected_net_amount,currency,payment_time,status
gw_00015,pay_00015,order_100015,cust_9317,3658.15,82.77,14.9,3560.48,INR,2026-08-01T09:18:00,captured
gw_00046,pay_00045,order_100045,cust_7311,3514.25,77.62,13.97,3422.66,INR,2026-08-01T09:55:00,captured
gw_00052,pay_00051,order_100051,cust_9099,6947.24,149.79,26.96,6770.49,INR,2026-08-01T12:01:00,captured
gw_00031,pay_00031,order_100031,cust_8491,5580.93,135.94,24.47,5420.52,INR,2026-08-01T14:05:00,captured
gw_00066,pay_00064,order_100064,cust_2876,3083.96,49.59,8.93,3025.44,INR,2026-08-01T23:01:00,captured
gw_00067,pay_00064,order_100064,cust_2876,3083.96,49.59,8.93,3025.44,INR,2026-08-01T23:01:00,captured
gw_00060,pay_00059,order_100059,cust_3704,8057.92,199.89,35.98,7822.05,INR,2026-08-01T23:43:00,captured
gw_00061,pay_00059,order_100059,cust_3704,8057.92,199.89,35.98,7822.05,INR,2026-08-01T23:43:00,captured
gw_00038,pay_00038,order_100038,cust_1685,5450.36,132.61,23.87,5293.88,INR,2026-08-02T06:47:00,captured
gw_00035,pay_00035,order_100035,cust_4335,4725.51,82.75,14.89,4627.87,INR,2026-08-02T12:44:00,captured
gw_00008,pay_00008,order_100008,cust_5422,3998.68,93.68,16.86,3888.14,INR,2026-08-02T15:32:00,captured
gw_00028,pay_00028,order_100028,cust_8811,8638.92,175.47,31.58,8431.87,INR,2026-08-02T16:03:00,captured
gw_00027,pay_00027,order_100027,cust_8973,2936.19,50.43,9.08,2876.68,INR,2026-08-02T16:56:00,captured
gw_00057,pay_00056,order_100056,cust_7797,7078.33,139.15,25.05,6914.13,INR,2026-08-02T19:00:00,captured
gw_00064,pay_00062,order_100062,cust_1317,1254.0,23.2,4.18,1226.62,INR,2026-08-02T22:28:00,captured
gw_00069,pay_00066,order_100066,cust_1672,6088.53,131.6,23.69,5933.24,INR,2026-08-02T22:39:00,captured
gw_00007,pay_00007,order_100007,cust_6820,3832.67,84.39,15.19,3733.09,INR,2026-08-02T23:59:00,captured
gw_00081,pay_00078,order_100078,cust_8827,2269.82,43.14,7.77,2218.91,INR,2026-08-03T01:27:00,captured
gw_00024,pay_00024,order_100024,cust_3296,7312.18,143.51,25.83,7142.84,INR,2026-08-03T02:10:00,captured
gw_00016,pay_00016,order_100016,cust_4923,1349.24,27.89,5.02,1316.33,INR,2026-08-03T04:00:00,captured
gw_00056,pay_00055,order_100055,cust_2269,5081.23,93.28,16.79,4971.16,INR,2026-08-03T05:00:00,captured
gw_00023,pay_00023,order_100023,cust_2612,1393.4,25.63,4.61,1363.16,INR,2026-08-03T20:40:00,captured
gw_00011,pay_00011,order_100011,cust_3266,8748.49,197.35,35.52,8515.62,INR,2026-08-03T20:52:00,captured
gw_00077,pay_00074,order_100074,cust_5118,4177.12,70.7,12.73,4093.69,INR,2026-08-04T02:17:00,captured
gw_00079,pay_00076,order_100076,cust_6912,3339.3,73.73,13.27,3252.3,INR,2026-08-04T06:07:00,captured
gw_00001,pay_00001,order_100001,cust_2824,809.74,14.13,2.54,793.07,INR,2026-08-04T13:12:00,captured
gw_00037,pay_00037,order_100037,cust_1158,2232.08,53.19,9.57,2169.32,INR,2026-08-04T18:24:00,captured
gw_00034,pay_00034,order_100034,cust_2697,2600.26,62.14,11.19,2526.93,INR,2026-08-04T21:53:00,captured
gw_00017,pay_00017,order_100017,cust_9727,2460.13,48.59,8.75,2402.79,INR,2026-08-05T03:10:00,captured
