payment_id,truth_case,ground_truth_status
pay_00001,AMOUNT_MISMATCH,EXCEPTION_AMOUNT_MISMATCH
pay_00002,SPLIT_SETTLEMENT,MATCHED_SPLIT
pay_00003,EXACT_MATCH,MATCHED_EXACT
pay_00004,SPLIT_SETTLEMENT,MATCHED_SPLIT
pay_00005,DELAYED_MATCH,MATCHED_DELAYED
pay_00006,EXACT_MATCH,MATCHED_EXACT
pay_00007,SPLIT_SETTLEMENT,MATCHED_SPLIT
pay_00008,EXACT_MATCH,MATCHED_EXACT
pay_00009,EXACT_MATCH,MATCHED_EXACT
pay_00010,AMOUNT_MISMATCH,EXCEPTION_AMOUNT_MISMATCH
pay_00011,EXACT_MATCH,MATCHED_EXACT
pay_00012,DUPLICATE_BANK,EXCEPTION_DUPLICATE_BANK
pay_00013,EXACT_MATCH,MATCHED_EXACT
pay_00014,MISSING_SETTLEMENT,EXCEPTION_MISSING_SETTLEMENT
pay_00015,DELAYED_MATCH,MATCHED_DELAYED
pay_00016,EXACT_MATCH,MATCHED_EXACT
pay_00017,EXACT_MATCH,MATCHED_EXACT
pay_00018,EXACT_MATCH,MATCHED_EXACT
pay_00019,DELAYED_MATCH,MATCHED_DELAYED
pay_00020,EXACT_MATCH,MATCHED_EXACT
pay_00021,EXACT_MATCH,MATCHED_EXACT
pay_00022,EXACT_MATCH,MATCHED_EXACT
pay_00023,EXACT_MATCH,MATCHED_EXACT
pay_00024,EXACT_MATCH,MATCHED_EXACT
pay_00025,EXACT_MATCH,MATCHED_EXACT
pay_00026,EXACT_MATCH,MATCHED_EXACT
pay_00027,DELAYED_MATCH,MATCHED_DELAYED
pay_00028,DUPLICATE_BANK,EXCEPTION_DUPLICATE_BANK
pay_00029,DELAYED_MATCH,MATCHED_DELAYED
pay_00030,EXACT_MATCH,MATCHED_EXACT
pay_00031,EXACT_MATCH,MATCHED_EXACT
pay_00032,MISSING_SETTLEMENT,EXCEPTION_MISSING_SETTLEMENT
pay_00033,SPLIT_SETTLEMENT,MATCHED_SPLIT
pay_00034,EXACT_MATCH,MATCHED_EXACT
pay_00035,EXACT_MATCH,MATCHED_EXACT
pay_00036,EXACT_MATCH,MATCHED_EXACT
pay_00037,DELAYED_MATCH,MATCHED_DELAYED
pay_00038,MISSING_SETTLEMENT,EXCEPTION_MISSING_SETTLEMENT
pay_00039,DUPLICATE_BANK,EXCEPTION_DUPLICATE_BANK
pay_00040,EXACT_MATCH,MATCHED_EXACT
pay_00041,EXACT_MATCH,MATCHED_EXACT
pay_00042,EXACT_MATCH,MATCHED_EXACT
pay_00043,DUPLICATE_GATEWAY,EXCEPTION_DUPLICATE_GATEWAY
pay_00044,AMOUNT_MISMATCH,EXCEPTION_AMOUNT_MISMATCH
pay_00045,DELAYED_MATCH,MATCHED_DELAYED
pay_00046,DELAYED_MATCH,MATCHED_DELAYED
pay_00047,SPLIT_SETTLEMENT,MATCHED_SPLIT
pay_00048,DELAYED_MATCH,MATCHED_DELAYED
pay_00049,EXACT_MATCH,MATCHED_EXACT
pay_00050,SPLIT_SETTLEMENT,MATCHED_SPLIT
pay_00051,MISSING_SETTLEMENT,EXCEPTION_MISSING_SETTLEMENT
pay_00052,DELAYED_MATCH,MATCHED_DELAYED
pay_00053,EXACT_MATCH,MATCHED_EXACT
pay_00054,AMOUNT_MISMATCH,EXCEPTION_AMOUNT_MISMATCH
pay_00055,EXACT_MATCH,MATCHED_EXACT
pay_00056,EXACT_MATCH,MATCHED_EXACT
pay_00057,AMOUNT_MISMATCH,EXCEPTION_AMOUNT_MISMATCH
pay_00058,EXACT_MATCH,MATCHED_EXACT
pay_00059,DUPLICATE_GATEWAY,EXCEPTION_DUPLICATE_GATEWAY
pay_00060,EXACT_MATCH,MATCHED_EXACT
pay_00061,EXACT_MATCH,MATCHED_EXACT
pay_00062,AMOUNT_MISMATCH,EXCEPTION_AMOUNT_MISMATCH
pay_00063,SPLIT_SETTLEMENT,MATCHED_SPLIT
pay_00064,DUPLICATE_GATEWAY,EXCEPTION_DUPLICATE_GATEWAY
pay_00065,EXACT_MATCH,MATCHED_EXACT
pay_00066,DELAYED_MATCH,MATCHED_DELAYED
pay_00067,SPLIT_SETTLEMENT,MATCHED_SPLIT
pay_00068,EXACT_MATCH,MATCHED_EXACT
pay_00069,EXACT_MATCH,MATCHED_EXACT
pay_00070,EXACT_MATCH,MATCHED_EXACT
pay_00071,DELAYED_MATCH,MATCHED_DELAYED
pay_00072,EXACT_MATCH,MATCHED_EXACT
pay_00073,EXACT_MATCH,MATCHED_EXACT
pay_00074,AMOUNT_MISMATCH,EXCEPTION_AMOUNT_MISMATCH
pay_00075,DELAYED_MATCH,MATCHED_DELAYED
pay_00076,EXACT_MATCH,MATCHED_EXACT
pay_00077,DELAYED_MATCH,MATCHED_DELAYED
pay_00078,DELAYED_MATCH,MATCHED_DELAYED
pay_00079,AMOUNT_MISMATCH,EXCEPTION_AMOUNT_MISMATCH
pay_00080,EXACT_MATCH,MATCHED_EXACT
